description,nom_localisation,salarie_nombre,telephone
Formation continue d'adultes,"CARRIERES ET CONSEIL,ROUBAIX",20 à 49 salariés,Modifier ces informations
Programmation informatique,"YPER,ROUBAIX",10 à 19 salariés,0972517520
Programmation informatique,"AKAWAM,VILLENEUVE-D-ASCQ",10 à 19 salariés,0320356702
Conseil en systèmes et logiciels informatiques,"LES-TILLEULS.COOP,LILLE",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"PRINT & CO,TOURCOING",0 salarié,0362292694
Tierce maintenance de systèmes et d’applications informatiques,"APX HOPEN SYNSTAR - HOPEN,WASQUEHAL",100 à 199 salariés,0134302875
Edition de logiciels applicatifs,"DATANANAS,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"DEVOTEAM,LILLE",0 salarié,Modifier ces informations
Vente à distance sur catalogue général,"LA REDOUTE,ROUBAIX",0 salarié,0320698592
Tierce maintenance de systèmes et d’applications informatiques,"SSID,VILLENEUVE-D-ASCQ",3 à 5 salariés,Modifier ces informations
Autres activités de soutien aux entreprises nca,"PENELOPE L'AGENCE,LILLE","
        ",Modifier ces informations
Conseil en systèmes et logiciels informatiques,"APNOS,DOUAI",10 à 19 salariés,0327943020
Vente à distance sur catalogue général,"VESTIAIRE COLLECTIVE,TOURCOING",20 à 49 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ATEXWEB,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320338590
Conseil en systèmes et logiciels informatiques,"AFG,MARCQ-EN-BAROEUL",0 salarié,0320980843
Edition de logiciels applicatifs,"CONTEXEO,LILLE",3 à 5 salariés,Modifier ces informations
"Ingénierie, études techniques","EXTIA,LILLE",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
,,,
,,,
Conseil en systèmes et logiciels informatiques,"L'AGENT X,WASQUEHAL",3 à 5 salariés,Modifier ces informations
Programmation informatique,"RFENCE,LILLE",0 salarié,0320547757
Programmation informatique,"ADAMING SERVICES,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"NTICO SERVICES,VILLENEUVE-D-ASCQ",0 salarié,0637863356
Conseil en systèmes et logiciels informatiques,"WAYKONECT,LILLE",0 salarié,0611431834
Conseil en systèmes et logiciels informatiques,"USFORYOU,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ALACRITE,LILLE",10 à 19 salariés,Modifier ces informations
Autres activités informatiques,"WAYBOX,VILLENEUVE-D-ASCQ",0 salarié,0826460900
Conseil en systèmes et logiciels informatiques,"INICIO,VILLENEUVE-D-ASCQ",20 à 49 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Conseil en systèmes et logiciels informatiques,"APSIDE NORD,LILLE",100 à 199 salariés,0320789082
Programmation informatique,"NET INFO SERVICES,LENS",3 à 5 salariés,0321425425
Conseil en systèmes et logiciels informatiques,"BEEFORYOU,LILLE",0 salarié,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","AKKA INGENIERIE PRODUIT,LEZENNES",20 à 49 salariés,0320862288
Conseil en systèmes et logiciels informatiques,"ACENSI NORD,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
